ISO	CaseForms_Jesus	Language	Latitude	Longitude
kpx	Different	Mountain Koiali	-9.06973	147.384
kpz	Same	Kupsabiny	1.33197	34.5991
kqc	Same	Doromu-Koki	-9.56687	147.986
kqe	Same	Kalagan	6.8126	125.328
kqf	Same	Kakabai	-10.2976	150.027
kql	Different	Kyenele	-4.66964	143.855
kqo	Same	Konobo-Eastern Krahn	5.83555	-7.85454
kqp	Same	Kimre	9.42071	16.9423
kqs	Same	Northern Kissi	8.7283	-10.4063
kqw	Same	Kandas	-4.3652	152.781
kqy	Different	Koorete	5.80545	37.8679
krc	Different	Karachay-Balkar	43.565	42.2606
kri	Same	Krio	10.8811	-14.3204
krj	Same	Kinaray-a	10.8131	122.297
kru	Different	Kurukh	24.46442	86.46568
ksb	Same	Shambala	-4.8	38.29
ksc	Same	Bangad	17.2936	121.068
ksd	Same	Kuanua	-4.30986	152.114
ksf	Same	Bafia	4.72603	11.0982
ksj	Different	Uare	-9.69571	147.687
ksp	Same	Kaba	7.64972	16.7344
ksr	Different	Borong	-6.56688	147.511
kss	Same	Southern Kisi	8.32448	-10.3377
ktb	Different	Kambaata	7.37582	37.9088
ktj	Same	Plapo Krumen	4.56109	-7.30644
kto	Same	Kuot	-3.06952	151.537
ktu	Same	Kituba (Democratic Republic of Congo)	-2.29601	17.1548
kua	Same	Kuanyama	-17.7176	16.58
kub	Same	Kutep	7.07479	10.0916
kud	Same	'Auhelawa	-10.0959	151.002
kue	Same	Kuman	-5.90586	144.977
kuj	Same	Kuria	-1.50636	34.5049
kum	Different	Kumyk	43	47
kup	Same	Kunimaipa	-8.09371	146.908
kus	Same	Kusaal	10.9703	-0.38756
kvj	Same	Psikye	10.677	13.569
kvn	Different	Border Kuna	7.92993	282.8336
kwd	Same	Kwaio	-8.93744	160.965
kwf	Same	Kwara'ae	-8.75779	160.804
kwi	Different	Awa-Cuaiquer	1.21652	281.6599
kwj	Same	Kwanga	-3.74263	142.711
kxc	Same	Konso	5.39111	37.53
kxm	Same	Northern Khmer	14.4674	103.863
kxw	Different	Konai	-5.66011	142.069
kyc	Different	Kyaka	-5.52462	144.119
kyf	Same	Kouya	7.27375	-6.5685
kyg	Different	Keyagana	-6.47599	145.464
kyq	Same	Kenga	11.6816	18.1464
kyu	Same	Western Kayah	18.687	97.4877
kyz	Same	Kayabí	-11.2747	304.4521
kze	Different	Kosena	-6.46414	145.66
kzf	Same	Da'a Kaili	-1.21051	119.527
lac	Same	Lacandon	17.02093	268.57652
lai	Same	Lambya	-9.49372	33.15852
laj	Same	Lango (Uganda)	2.13867	33.0553
lam	Same	Lamba	-12.3366	27.9026
las	Same	Lama (Togo)	8.66954	0.833293
lat	Different	Latin	41.9026	12.4502
lav	Different	Latvian	56.826108	24.309118
lbb	Same	Label	-4.46971	152.678
lbj	Different	Leh Ladakhi	33.468	80.6013
lbk	Same	Central Bontoc	17.08	120.92
lcm	Same	Tungag	-2.52188	150.198
ldi	Same	Laari	-4.25	14.9
lee	Same	Lyélé	12.4305	-2.59229
lef	Same	Lelemi	7.34549	0.50746
enl	Same	Enlhet Norte	-22.54	301.02
leh	Same	Lenje	-14.7192	28.2581
lem	Same	Nomaande	4.5893	10.9157
leu	Same	Kara (Papua New Guinea)	-2.81957	151.111
lew	Same	Ledo Kaili	-1.03033	120.132
lex	Same	Luang	-8.18378	127.944
lgm	Same	Lega-Mwenga	-3.39007	28.2621
lhm	Different	Lhomi	27.5948	87.7161
lhu	Same	Lahu	21.2701	100.214
lia	Same	West-Central Limba	9.52392	-12.3138
lid	Same	Nyindrou	-2.1143	146.627
lin	Same	Kinshasa Lingala	-4.409174	15.28532
lip	Same	Sekpele	7.16751	0.5886
lit	Different	Lithuanian	55.1429	23.9601
ljp	Same	Lampung Api	-5.73463	105.037
lmk	Same	Lamkang	24.1523	94.2706
lmp	Same	Limbum	6.58608	10.9802
lob	Same	Lobi	9.96122	-3.336
log	Same	Logo	3.32608	29.8866
lol	Same	Mongo	-1.54228	20.4259
lom	Same	Loma (Liberia)	7.91585	-9.69906
loq	Same	Lobala	2.04881	18.3667
loz	Same	Lozi	-17.7052	24.7398
lsi	Same	Lashi	26.0992	98.5481
lsm	Same	Saamia	0.3652	34.0335
lug	Same	Ganda	0.66884	32.15153
luo	Same	Luo (Kenya and Tanzania)	-0.93296	34.4896
lus	Same	Mizo	22.6138	92.6247
lwo	Different	Luwo	7.35089	28.1378
lww	Same	Lewo	-16.7612	168.334
maa	Same	San Jerónimo Tecóatl Mazatec	18.1999	263.1167
mad	Same	Madurese	-7	113
maf	Same	Mafa	10.943	13.8181
mah	Same	Marshallese	8.72	167.73
mai	Same	Maithili	26.3817	86.2211
maj	Same	Jalapa De Díaz Mazatec	18.0803	263.5023
mak	Same	Makasar	-5.65551	119.838
mal	Different	Malayalam	9.59208	76.7651
mam	Same	Mam	14.8034	268.2769
maq	Same	Chiquihuitlán Mazatec	18.0541	263.3341
mar	Different	Marathi	17.9344	76.6665
mas	Same	Masai	-3.1419	36.4573
mau	Same	Huautla Mazatec	18.2556	263.276
mav	Same	Sateré-Mawé	-3.63897	303.1251
maw	Same	Mampruli	10.3884	-0.74675
maz	Same	Central Mazahua	19.7357	259.982
mbb	Same	Western Bukidnon Manobo	7.6682	124.825
mbc	Same	Macushi	4.31861	299.7791
mbd	Same	Dibabawon Manobo	7.85664	126.018
mbf	Same	Baba Malay	1.75414	103.076
mbh	Same	Mangseng	-5.89752	150.68
mbi	Same	Ilianen Manobo	7.34448	124.766
mbj	Same	Nadëb	-1.24449	293.6932
mbl	Same	Maxakalí	-16.9402	319.2109
mbs	Same	Sarangani Manobo	5.84903	125.499
mbt	Same	Matigsalug Manobo	7.72124	125.16
mca	Same	Maca	-25.0119	302.6306
mcb	Same	Machiguenga	-12.1291	287.4983
mcd	Same	Sharanahua	-9.8626	288.8768
mcf	Same	Matsés	-5.73914	287.3719
mck	Same	Mbunda	-14.603	21.9768
mcn	Same	Masana	10.0606	15.4748
mco	Same	Coatlán Mixe	16.9404	264.5341
mcp	Same	Makaa	4.15471	13.0789
mcq	Different	Ese	-9.09451	148.376
mcu	Same	Donga Mambila	6.43829	11.41953
mda	Same	Mada (Nigeria)	9.02294	8.34119
mdy	Same	Male (Ethiopia)	5.91975	36.9892
med	Same	Melpa	-5.62644	144.34
mee	Same	Mengen	-5.47036	151.373
mej	Same	Meyah	-1.18016	133.618
mek	Same	Mekeo	-8.23853	146.586
men	Same	Mende (Sierra Leone)	7.90935	-10.9926
meq	Same	Merey	10.7458	14.09
meu	Same	Motu	-9.67492	147.424
mfe	Same	Morisyen	-20.2613	57.5517
mfh	Same	Matal	10.9284	14.0474
mfi	Same	Wandala	11.3169	13.8996
mfk	Same	North Mofu	10.6834	14.1117
mfq	Same	Moba	10.9496	0.159565
mfy	Different	Mayo	26.4522	251.019
mgc	Same	Morokodo	5.5103	30.0229
mgh	Same	Makhuwa-Meetto	-11.9553	38.6874
mgr	Same	Mambwe-Lungu	-8.86817	31.2269
mhi	Same	Ma'di	3.62499	31.8471
mhl	Same	Mauwake	-4.52416	145.394
mhr	Different	Eastern Mari	55.8307	48.405
mhx	Same	Maru	24.942535	99.8338
mhy	Same	Ma'anyan	-2.1239	115.092
mib	Same	Atatláhuca Mixtec	17.07133	262.32247
mic	Different	Mi'kmaq	46	296
mie	Same	Ocotepec Mixtec	17.144191	262.236781
mif	Same	Mofu-Gudur	10.567	14.0314
mig	Same	San Miguel El Grande Mixtec	17.046881	262.377518
mih	Same	Chayuco Mixtec	16.42	262.17
mil	Same	Peñoles Mixtec	17.0671	262.9899
min	Same	Minangkabau	-0.896	100.44
mio	Same	Pinotepa Nacional Mixtec	16.3043	262.0034
miq	Same	Mískito	15.1576	275.7058
mir	Same	Isthmus Mixe	16.9481	264.9319
mit	Same	Southern Puebla Mixtec	18.2123	262.0428
miy	Same	Ayutla Mixtec	16.96667	260.9033
mjc	Same	San Juan Colorado Mixtec	16.46073	262.04554
mjw	Same	Hills Karbi	25.7317	93.0462
mkd	Different	Macedonian	41.5957	21.7932
mkl	Same	Mokole	11.0438	3.05998
mkn	Same	Kupang Malay	-10.2526	123.63
mks	Same	Silacayoapan Mixtec	17.5541	261.8837
mlh	Different	Mape	-6.59318	147.682
mlp	Same	Bargam	-4.8723	145.756
mlt	Different	Maltese	35.8884	14.4508
mmn	Same	Mamanwa	9.44744	125.548
mmo	Same	Mangga Buang	-6.99891	146.685
mmx	Same	Madak	-3.34342	151.967
mna	Same	Mbula	-5.66965	148.041
mnb	Same	Muna	-5.40419	122.541
mnf	Same	Mundani	5.68073	9.91533
mnh	Same	Mono (Democratic Republic of Congo)	4.57915	19.8264
mnk	Same	Mandinka	12.8165233333	-15.6539466667
mnx	Same	Sougb	-1.49611	133.95
moa	Same	Mwan	7.87533	-5.94577
moc	Same	Mocoví	-28.097	299.5855
mog	Same	Mongondow	0.64616	124.114
moh	Same	Mohawk	43.72	285.33164
mop	Same	Mopán Maya	16.3533	270.9327
mor	Same	Moro	10.9194	30.2138
mos	Same	Mossi	11.95	-1.32
mox	Same	Molima	-9.57457	150.614
mpg	Same	Marba	9.54	15.8
mpm	Same	Yosondúa Mixtec	16.874	262.421
mpp	Same	Migabac	-6.33237	147.713
mps	Different	Dadibi	-6.65765	144.511
mpt	Same	Mian	-4.70881	141.523
mpx	Same	Misima-Paneati	-10.6821	152.696
mqb	Same	Mbuko	10.7788	14.1677
mqj	Same	Mamasa	-3.0811	119.484
mqy	Same	Manggarai	-8.55748	120.329
mrg	Different	Mising-Padam-Miri-Minyong	27.418	94.69
mrw	Same	Maranao	7.79414	124.175
zsm	Same	Standard Malay	3.08896	101.699
msb	Same	Masbatenyo	12.21453	123.63579
mse	Same	Musey	9.81612	15.4115
msk	Same	Mansaka	6.79221	126.181
msm	Same	Agusan Manobo	8.62731	125.742
msy	Different	Aruamu	-4.28957	144.842
mta	Same	Cotabato Manobo	6.39417	124.234
mtg	Same	Una	-4.69676	140.1
mti	Same	Maiwa (Papua New Guinea)	-9.69836	149.274
mtj	Same	Moskona	-1.62201	133.145
mto	Same	Totontepec Mixe	17.2157	263.9821
mtp	Same	Wichí Lhamtés Nocten	-21.988	296.4029
mua	Same	Mundang	9.83195	14.4751
mug	Same	Musgu	10.8439	15.1065
muh	Same	Mündü	4.22755	29.9967
mur	Same	Murle	6.69756	33.988
mux	Different	Bo-Ung	-5.8626	144.086
muy	Same	Muyang	10.86047	14.21246
mva	Same	Manam	-4.07921	145.033
mvn	Same	Minaveha	-9.59922	150.501
mvp	Same	Duri	-3.37081	119.871
mwc	Same	Are	-9.67147	149.999
mwl	Same	Mirandese	41.5375	-6.38371
mwm	Same	Sar	8.50634	17.8785
mwp	Different	Kala Lagaw Ya	-10.6748	142.196
mwq	Same	Mün Chin	20.289	94.3929
mwv	Same	Mentawai	-1.41092	98.9401
mww	Same	Hmong Daw	21.5461	103.164
mxb	Same	Tezoatlán Mixtec	17.6155	262.0998
mxp	Same	Tlahuitoltepec Mixe	16.9634	263.8814
mxq	Same	Juquila Mixe	16.8912	264.1516
mxt	Same	Jamiltepec Mixtec	16.2279	262.1583
mxv	Same	Metlatónoc Mixtec	17.1947	261.64862
mya	Different	Burmese	20.7926	93.9665
myb	Same	Mbay	8.23066	15.7328
myk	Same	Mamara Senoufo	12.4871	-5.28245
myu	Same	Mundurukú	-8.41095	302.309
myv	Different	Erzya	52.8548	45.3901
myw	Same	Muyuw	-9.195	152.731
myx	Same	Masaaba	1.05906	34.2829
myy	Different	Macuna	-0.14459	289.9251
mza	Same	Santa María Zacatepec Mixtec	16.7003	262.0516
mzh	Same	Wichí Lhamtés Güisnay	-23.1633	297.8243
mzk	Same	Western Mambila	6.69736	11.3161
mzl	Same	Mazatlán Mixe	17.0156	264.7167
mzm	Same	Mumuye	8.90347	11.71545
mzw	Same	Deg	8.43846	-2.28724
mzz	Same	Maiadomu	-9.47132	150.76
nab	Same	Southern Nambikuára	-14.3707	300.4813
naf	Different	Nabak	-6.42709	146.966
nak	Same	Nakanai	-5.59931	150.888
nan	Same	Min Nan Chinese	24.5	118.17
naq	Same	Nama (Namibia)	-25.0747	17.9767
nas	Different	Naasioi	-6.46022	155.632
nav	Same	Navajo	36.33	250.62
naw	Same	Nawuri	8.45116	0.04947
nbc	Different	Chang Naga	26.4336	94.9536
nbe	Different	Konyak Naga	26.6823	95.0598
nbl	Same	South Transvaal Ndebele	NA	NA
nbq	Same	Nggem	-3.62735	139.011
nbu	Same	Rongmei Naga	25.098	93.7869
nca	Different	Iyo	-5.84161	146.092
nch	Same	Central Huasteca Nahuatl	21.0963	261.5644
ncj	Same	Northern Puebla Nahuatl	20.1356	262.0186
ncl	Same	Michoacán Nahuatl	18.3412	256.639
nct	Same	Chothe	24.3722	94.2408
ncu	Same	Chumburung	8.15211	-0.2755
ndc	Same	Ndau	-20.1239	33.1739
nde	Same	Zimbabwean Ndebele	-20.2513	27.4096
ndi	Same	Samba Leko	8.19236	11.7366
ndj	Same	Ndamba	-8.40485	36.0271
ndo	Same	Ndonga	-17.22	17.35
ndp	Different	Ndo	2.68546	30.5652
nds	Same	Eastern Low German	53.115373	12.391439
ndz	Same	Ndogo	7.73028	27.5588
neb	Same	Toura (Côte d'Ivoire)	7.76747	-7.33105
nep	Different	Eastern Pahari	27.5947033333	87.6200833333
nfa	Same	Dhao	-10.8098	122.658
nfr	Same	Nafanan	8.00522	-2.51001
ngc	Same	Ngombe (Democratic Republic of Congo)	1.45357	20.14148
ngp	Same	Ngulu	-5.79734	37.6823
ngu	Same	Central Guerrero Nahuatl	17.8583	260.9977
nhd	Different	Chiripá	-25.6521	304.949
nhe	Same	Eastern Huasteca Nahuatl	21.0639	262.0923
nhg	Same	Tetelcingo Nahuatl	18.8854	261.107
nhi	Same	Zacatlán-Ahuacatlán-Tepetzintla Nahuatl	20.0581	262.1026
nho	Same	Takuu	-4.773094	157.032085
nhr	Same	Naro	-22.0939	20.7458
nhu	Same	Noone	6.37256	10.5707
nhw	Same	Western Huasteca Nahuatl	21.3711	261.2289
nhx	Same	Isthmus-Mecayapan Nahuatl	18.2	265.2453
nhy	Same	Northern Oaxaca Nahuatl	18.1884	263.0252
nia	Same	Nias	0.90691	97.4961
nif	Different	Nek	-6.37697	146.841
nii	Same	Nii	-5.763	144.518
nij	Same	Ngaju	-1.58463	112.794
nim	Same	Nilamba	-4.50002	34.3068
nin	Same	Ninzo	8.95791	8.47328
niq	Same	Nandi	0.793737	35.408478
niy	Same	Ngiti	1.30455	30.2242
njb	Same	Nocte Naga	27.152	95.3903
njm	Same	Angami Naga	25.6841	93.8668
njn	Same	Liangmai Naga	25.16	93.542
njo	Different	Ao Naga	26.3241	94.3824
njz	Different	Nyishi-Hill Miri	27.278263	93.675529
nki	Different	Thangal Naga	25.3472	93.8396
nko	Same	Nkonya	7.20316	0.3209
nlc	Same	Nalca	-4.26068	139.883
nld	Same	Dutch	52	5
nma	Different	Maram Naga	25.4378	94.2205
nmf	Different	East-Central Tangkhul Naga	25.0489	94.3567
nmh	Same	Monsang Naga	24.5322	94.2164
nmo	Same	Moyon	24.4793	94.3421
nmw	Same	Nimoa	-11.2297	153.158
nmz	Different	Nawdm	7.17037	0.58553
nnb	Same	Nande	-0.24904	29.0243
nng	Different	Maring Naga	24.2854	94.0723
nnh	Same	Ngiemboon	5.56777	10.1266
nnl	Same	Northern Rengma Naga	26.4492	94.5683
nno	Same	Norwegian Nynorsk	NA	NA
nnp	Different	Wancho Naga	26.2581	94.8936
nnq	Same	Ngindo	-9.78145	37.9832
nnw	Same	Southern Nuni	11.5186	-2.14385
noa	Different	Woun Meu	8.5	282
nob	Same	Norwegian Bokmål	61.112	8.886
nog	Different	Nogai	44.89776	43.1656
nop	Same	Numanggang	-6.39311	146.719
not	Same	Nomatsiguenga	-11.5349	285.5629
nou	Same	Ewage-Notu	-8.68756	148.405
nph	Different	Phom Naga	26.4715	94.7476
npi	Different	Nepali	28	85
npl	Same	Nahuatl, Southeastern Puebla	18.39688	262.87345
npo	Same	Pochuri Naga	25.4478	94.1119
npy	Same	Napu	-1.43707	120.338
nre	Same	Southern Rengma Naga	26.1178	94.6853
nrf	Same	Jerriais	49.2123	-2.1325
nri	Same	Chokri Naga	25.5636	94.2887
nsa	Different	Sangtam Naga	25.8581	94.6279
nse	Same	Nsenga	-15.3946	31.3544
nsm	Same	Sumi Naga	25.9996	94.4235
nsn	Same	Nehan	-4.56875	154.2
nso	Same	Pedi	-24.7993	29.4718
nss	Same	Nali	-2.14273	147.202
nst	Same	Pangwa Naga	27.2572	96.3855
nsu	Same	Sierra Negra Nahuatl	18.45	263.1
ntp	Same	Northern Tepehuan	26.4348	252.621
ntr	Same	Delo	7.90997	0.59728
nus	Same	Nuer	8.13911	32.3829
nuy	Same	Wubuy	-14.2623	135.753
nvm	Same	Namiae	-9.18089	148.166
nwb	Same	Nyabwa	6.87615	-6.84428
nwi	Same	Southwest Tanna	-19.57953	169.35603
nxd	Same	Ngando-Lalia	-0.14363	22.6231
nya	Same	Nyanja	-14.8047	32.8108
nyf	Same	Giryama	-3.30638	39.6648
nyn	Same	Nyankole	-0.46364	30.548
nyo	Same	Nyoro	0.95294	31.3493
nyu	Same	Nyungwe	-16.4757	33.0233
nyy	Same	Nyakyusa-Ngonde	-9.71018	33.7763
nzm	Same	Zeme Naga	25.3499	93.6463
obo	Same	Obo Manobo	7.29141	125.09
ojb	Different	Northwestern Ojibwa	51.6192	272.2138
ciw	Different	Chippewa	47.347	265.7262
ojs	Different	Severn Ojibwa	53.9092	270.0669
okv	Same	Orokaiva	-8.79019	148.09
old	Same	Mochi	-3.33743	37.3357
omw	Different	South Tairora	-6.35337	145.883
ong	Same	Olo	-3.2929	142.131
ons	Same	Ono	-6.19223	147.579
ood	Same	Tohono O'odham	31.7973	248.005
opm	Same	Oksapmin	-5.20797	142.177
ory	Different	Odia	21	85
oss	Different	Iron Ossetian	42.98	44.61
ote	Same	Mezquital Otomi	20.2274	260.4436
otm	Same	Eastern Highland Otomi	20.5991	261.9022
otn	Same	Tenango Otomi	20.4262	261.8249
otq	Same	Querétaro Otomi	20.1396	259.885
ots	Same	Estado de México Otomi	19.8781	260.39
oym	Same	Wayampi	1.73817	307.3113
ozm	Same	Koonzime	3.25933	13.54152
pab	Same	Parecís	-14.5929	302.5941
pad	Same	Paumari	-5.78403	295.7197
pag	Same	Pangasinan	15.9377	120.365
pah	Same	Tenharim-Parintintin-Diahoi	-7.92626	298.064
pam	Same	Pampanga	14.9603	120.502
pan	Same	Eastern Panjabi	30.0368	75.6702
pao	Same	Northern Paiute	40.0799	240.464
pap	Same	Papiamento	12.48485	290.06012
pbb	Different	Páez	2.61516	283.68746
pbc	Same	Patamona	4.75826	300.4228
pbi	Same	Parkwa	11.0206	14.0964
pbl	Same	Mak (Nigeria)	9.37299	11.1337
pck	Different	Paite Chin	24.0381	93.6136
pcm	Same	Nigerian Pidgin	9.65873	4.21068
pdc	Same	Pennsylvania German	40.030507	283.6789
pdt	Same	Plautdietsch	49.578028	250.646132
pes	Same	Western Farsi	32.9	53.3
pfe	Same	Peere	7.82186	12.2518
pio	Same	Piapoco	4.37718	291.4047
pir	Different	Wa'ikhana	0.50714	290.4968
pis	Same	Pijin	-9.567	160.137
pjt	Different	Pitjantjatjara	-26.9704	131.357
pkb	Same	Pokomo	-2.31587	40.2897
plg	Different	Pilagá	-25.0058	299.8463
pls	Same	San Marcos Tlalcoyalco Popoloca	18.74	262.4064
plt	Same	Plateau Malagasy	-19.5907	47.1211
plu	Same	Palikúr	3.63993	308.3754
plw	Same	Brooke's Point Palawano	8.83891	117.871
pma	Same	Paama	-16.47548	168.23693
pmf	Same	Pamona	-1.62663	121.268
pmx	Same	Poumei Naga	25.1944	94.4618
pne	Same	Western Penan	3.4667	114.523
poe	Same	San Juan Atzingo Popoloca	18.22245	262.62077
poh	Same	Poqomchi'	15.3586	269.4187
poi	Same	Highland Popoluca	18.198	265.0891
pol	Different	Polish	51.8439	18.6255
pon	Same	Pohnpeian	6.87212	158.223
por	Same	Portuguese	39.91	-8.1
pot	Different	Potawatomi	40.955	270.8119
poy	Same	Pogolo	-8.72283	36.4148
ppk	Same	Uma	-1.70416	119.968
ppo	Different	Folopa	-6.86321	144.458
pps	Same	San Luís Temalacayuca Popoloca	18.6812	262.4541
prf	Same	Paranan	17	122.372
pri	Same	Paicî	-21.096	165.15
prk	Same	South Wa	22.8658	99.375
prs	Same	Dari	31.0405	67.3593
pse	Same	South Barisan Malay	-3.79673	103.137
ptp	Same	Patep	-6.91988	146.639
ptu	Same	Bambam	-3.02759	119.201
pua	Different	Western Highland Purepecha	19.5392	257.846
pwg	Same	Gapapaiwa	-9.73317	149.854
pww	Same	Pwo Northern Karen	18.016	98.2709
qub	Different	Huallaga Huánuco Quechua	-9.57135	284.406
quc	Same	K'iche'	14.5278	268.8304
quf	Different	Lambayeque Quechua	-6.1715	280.532
qug	Different	Bolivar-North Chimborazo Highland Quichua	-1.36727	281.1479
quh	Different	South Bolivian Quechua	-20.9201	293.6669
qul	Different	North Bolivian Quechua	-14.4014	291.2106
qup	Different	Southern Pastaza Quechua	-3.32733	283.473
quw	Different	Tena Lowland Quichua	-0.76271	282.4596
quy	Different	Ayacucho Quechua	-13.84714	285.67754
quz	Different	Cusco Quechua	-14.0853	288.2337
qva	Different	Ambo-Pasco Quechua	-10.5138	283.8865
qvc	Different	Cajamarca Quechua	-7.09314	281.6786
qve	Different	Eastern Apurímac Quechua	-14.1754	287.3314
qvh	Different	Huamalíes-Dos de Mayo Huánuco Quechua	-9.15718	283.6628
qvi	Different	Imbabura Highland Quichua	0.31776	281.6271
qvm	Different	Margos-Yarowilca-Lauricocha Quechua	-9.84463	283.5019
qvn	Different	North Junín Quechua	-11.2132	284.1872
qvo	Different	Napo Lowland Quechua	-0.072525	283.6111
qvs	Different	San Martín Quechua	-6.9582	283.3392
qvw	Different	Huaylla Wanca Quechua	-12.1809	284.7945
qvz	Different	Northern Pastaza Quichua	-1.88573	283.9611
qwh	Different	Huaylas Ancash Quechua	-9.38709	282.2232
qxh	Different	Panao Huánuco Quechua	-9.85887	284.5618
qxl	Different	Tungurahua Highland Quichua	-1.35447	281.6047
qxn	Different	Northern Conchucos Ancash Quechua	-8.97356	282.5854
qxo	Different	Southern Conchucos Ancash Quechua	-9.30995	283.0146
qxr	Different	Cañar-Azuay-South Chimborazo Highland Quichua	-2.48314	281.0328
rad	Same	Rade	12.979	108.41
rai	Same	Ramoaaina	-4.17306	152.451
rar	Same	Southern Cook Island Maori	-21.23	200.22
ria	Same	Riang (India)	23.6803	92.0321
rim	Same	Nyaturu	-5.12263	34.6657
rkb	Same	Rikbaktsa	-11.1887	301.8058
rml	Same	Baltic Romani	60	38
rmn	Same	Balkan Romani	42.67	21.17
rmo	Different	Sinte-Manus Romani	48.7	9.4
rmq	Same	Caló	41.424	0.6
rmy	Different	Vlax Romani	46.09	18.16
rnl	Different	Halam	23.819438	91.66491
ron	Different	Romanian	46.3913	24.2256
roo	Same	Rotokas	-5.94339	155.154
rop	Same	Kriol	-18.135	137.669
rro	Same	Waima	-8.67145	146.544
rub	Same	Gungu	2.06754	31.4819
ruf	Same	Luguru	-6.86828	37.5557
run	Same	Rundi	-2.94	29.97
rup	Same	Aromanian	40.616	21.2
rus	Different	Russian	59	50
rwo	Different	Rawa	-5.83155	145.937
sab	Same	Buglere	8.57695	278.74352
sag	Same	Sango	6.78584	20.1702
sah	Different	Sakha	61.69744	133.98031
san	Different	Sanskrit	20	77
sas	Same	Sasak	-8.58349	116.284
sat	Same	Santali	25.0317	87.8185
sba	Same	Ngambay	8.57051	15.414
sbd	Same	Southern Samo	12.713	-2.9052
sbe	Same	Saliba	-10.6148	150.727
sbl	Same	Botolan Sambal	15.2315	120.164
sco	Same	Scots	55.886945	-3.710133
sda	Same	Toraja-Sa'dan	-2.97144	119.829
seh	Same	Sena	-19.7933	34.9829
ses	Same	Koyraboro Senni Songhai	16.9634	-0.55187
sey	Different	Secoya	-0.459785	284.4453
sgb	Same	Mag-Anchi Ayta	15.1954	120.459
sgw	Different	Sebat Bet Gurage	8.11879	37.9891
sgz	Same	Sursurunga	-3.99078	152.768
shi	Same	Tachelhit	29.7854	-7.77879
shk	Same	Shilluk	9.85472	31.7926
shp	Different	Shipibo-Conibo	-7.17105	285.1781
shu	Same	Chadian Arabic	14.67	13.5
sig	Same	Paasaal	10.2004	-1.8048
sil	Same	Tumulung Sisaala	10.63451	-1.79707
sim	Different	Mende (Papua New Guinea)	-3.67233	142.683
sin	Same	Sinhala	8	81
sja	Different	Epena	4.25877	282.6434
sld	Same	Sissala of Burkina Faso	11.0916	-2.38217
slk	Different	Slovak	48.545705	18.78479
sll	Same	Salt-Yui	-6.26519	145.021
slv	Different	Slovenian	46.2543	14.7766
sme	Different	North Saami	68.725	22.1113
smk	Same	Bolinao	16.3071	119.853
sml	Same	Central Sama	7.004574	118.455978
smo	Same	Samoan	-13.92	188.17
smt	Different	Simte	24.5444	93.3265
sna	Same	Shona	-17.20849	29.75725
snc	Same	Sinaugoro	-9.79791	147.861
snd	Same	Sindhi	26	69
snf	Same	Noon	14.792	-16.9205
snn	Different	Siona-Tetete	0.31733	283.9763
snp	Same	Siane	-6.13188	145.247
snw	Same	Selee	7.17462	0.42458
sny	Same	Saniyo-Hiyewe	-4.4376	142.369
som	Same	Somali	4.778704	45.152856
sop	Same	Songe	-5.71993	25.2765
soq	Same	Kanasi	-10.1658	149.751
sot	Same	Southern Sotho	-28.78	27.89
soy	Different	Miyobe	9.94366	1.33302
spa	Different	Spanish	40.4414	-1.11788
spl	Different	Selepet	-6.03532	147.234
spp	Same	Supyire Senoufo	11.632	-5.87709
sps	Same	Saposa	-5.64103	154.732
spy	Same	Sabaot	1.01297	34.6664
sqi	Different	Albanian	41	20
sri	Different	Siriano	0.436515	289.816
srm	Same	Saramaccan	4.54729	305.9762
srn	Same	Sranan Tongo	5.83	304.67
srp	Different	Serbian Standard	44.3238	21.9192
srq	Same	Sirionó	-15.5298	296.0312
ssd	Same	Siroi	-5.52893	145.994
ssg	Same	Seimat	-1.2666667	144.25
ssw	Same	Swati	-26	31.5
ssx	Different	Samberigi	-6.7028	143.951
stn	Same	Owa	-10.82553	162.30467
stp	Same	Southeastern Tepehuan	23.1584	256.017
stq	Same	Ems-Weser Frisian	53.117	7.721
sua	Same	Sulka	-5.03471	151.891
suc	Same	Western Subanon	7.79964	122.341
sue	Same	Suena	-7.76339	147.534
suk	Same	Sukuma	-3.16082	32.8765
sun	Same	Sundanese	-6.89708	107.106
sur	Same	Mwaghavul	9.47205	8.96522
sus	Same	Susu	10.4046	-13.3628
suz	Different	Sunwar	27.5201	86.2476
swe	Same	Swedish	59.800634	17.389526
swg	Same	Swabian	48.386796	9.987111
swh	Same	Swahili	-8.25605	37.624
swk	Same	Malawi Sena	-16.6183	34.991
swp	Same	Suau	-10.6606	150.21
sxb	Same	Suba	-0.95719	34.1033
sxn	Same	Sangir	3	125.5
syb	Same	Central Subanen	8.12701	123.018
syc	Different	Classical Syriac	37.1129	42.1432
szb	Same	Ngalum	-4.67682	141.03
tab	Different	Tabasaran	42.0198	47.8379
tac	Same	Lowland Tarahumara	27.4623	252.146
taj	Different	Eastern Tamang	27.3239	87.0832
tam	Different	Tamil	10.520219	78.825989
taq	Same	Tamasheq	14.2038	-2.41269
tar	Same	Central Tarahumara	27.5648	252.846
tat	Different	Tatar	55.79592	49.11577
tav	Different	Tatuyo	0.55582	289.4673
taw	Same	Tai	-5.29223	144.66
tbc	Same	Takia	-4.69057	145.975
tbk	Same	Calamian Tagbanwa	12.0716	120.094
tbl	Same	Tboli	6.20377	124.538
